"label","point_1","point_2","point_3","point_4","point_5","point_6","point_7","point_8","point_9","point_10","point_11","point_12","point_13","point_14","point_15","point_16","point_17","point_18","point_19","point_20"
"b","0.1,0","0.1,0","-0.1,0","-0.1,0","0.1,0","0.2,0","0.4,0","0.5,0","0.8,0","1,0","1.5,0","2.5,0","3.7,0","4.800000000000001,0","5.5,0","6.1000000000000005,0","6.7,0","6.9,0","6.1000000000000005,0","4.1000000000000005,0"
"b","0.7000000000000001,0","0.7000000000000001,0","0.5,0","0.5,0","0.8,0","1.4000000000000001,0","2.5,0","3.6,0","3.8000000000000003,0","3.2,0","2.7,0","1.1,0","-0.5,0","-2.2,0","-3.4000000000000004,0","-0.6000000000000001,0","4.2,0","5.1000000000000005,0","-0.7000000000000001,0","-2.8000000000000003,0"
"b","-0.4,0","0.5,0","0.1,0","-0.30000000000000004,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"b","0.30000000000000004,0","0.6000000000000001,0","0.30000000000000004,0","0.1,0","-0.2,0","1.2000000000000002,0","-0.8,0","0.2,0","3.1,0","2.4000000000000004,0","1.4000000000000001,0","-0.8,0","-3.3000000000000003,0","-4.3,0","-3.1,0","-0.9,0","0.5,0","2.3000000000000003,0","3.7,0","2,0"
"b","0.2,0","0.2,0","0.1,0","-0.30000000000000004,0","-0.30000000000000004,0","0.7000000000000001,0","0.9,0","1.5,0","1.4000000000000001,0","-0.7000000000000001,0","-2.7,0","-4.2,0","-4.5,0","-3.2,0","-1.1,0","0.1,0","1.3,0","3.4000000000000004,0","2.8000000000000003,0","0.6000000000000001,0"
"b","0.7000000000000001,0","0.7000000000000001,0","0.2,0","0.5,0","0.1,0","0.8,0","0.4,0","-0.30000000000000004,0","0.8,0","0.4,0","2.7,0","4.2,0","3.5,0","0.30000000000000004,0","-1.5,0","-3.3000000000000003,0","-3.5,0","-2.5,0","-0.8,0","1,0"
"b","0.1,0","0.30000000000000004,0","-0.1,0","-0.1,0","0.5,0","-0.8,0","0.4,0","1.8,0","-0.8,0","1.1,0","3.1,0","3.4000000000000004,0","3.7,0","2.7,0","0.1,0","-2,0","-3.6,0","-2.4000000000000004,0","-1.5,0","0.6000000000000001,0"
"b","0.7000000000000001,0","0.4,0","0.5,0","1.1,0","0.4,0","-1.3,0","1.1,0","-0.1,0","0.1,0","2.8000000000000003,0","3.4000000000000004,0","3.2,0","1.7000000000000002,0","-0.4,0","-5.300000000000001,0","-8.6,0","-6.6000000000000005,0","-3.3000000000000003,0","-0.4,0","1.7000000000000002,0"
"b","-0.2,0","-0.4,0","-0.2,0","-0.2,0","-0.1,0","0.30000000000000004,0","0.2,0","-0.5,0","-0.5,0","0.5,0","1.4000000000000001,0","1,0","0.4,0","1.2000000000000002,0","1.8,0","3.1,0","3.9000000000000004,0","3.9000000000000004,0","3.4000000000000004,0","3,0"
"b","-0.1,0","0.2,0","0.2,0","0.30000000000000004,0","0.2,0","0.1,0","-0.1,0","-0.30000000000000004,0","-0.5,0","-0.30000000000000004,0","0.1,0","0.2,0","0.30000000000000004,0","0.6000000000000001,0","1.1,0","1,0","1.1,0","2.5,0","4.3,0","5.7,0"
"b","0.30000000000000004,0","0.7000000000000001,0","0.5,0","-0.5,0","-0.2,0","0.4,0","0.30000000000000004,0","0.8,0","1.3,0","3.6,0","4.5,0","3.6,0","1.5,0","-3.1,0","-5.1000000000000005,0","-6,0","-5.9,0","-4.4,0","-2.2,0","0.7000000000000001,0"
"b","0.30000000000000004,0","0.30000000000000004,0","0.2,0","-0.30000000000000004,0","-0.5,0","-0.9,0","-0.8,0","-0.5,0","0.30000000000000004,0","0.8,0","1.4000000000000001,0","0.9,0","1,0","1.5,0","2.1,0","3.1,0","3.5,0","3.3000000000000003,0","3,0","2.1,0"
"c","-0.30000000000000004,0","-0.5,0","-0.6000000000000001,0","-0.9,0","-1.2000000000000002,0","-1.2000000000000002,0","-0.8,0","-0.1,0","0.4,0","0.7000000000000001,0","1.1,0","1.4000000000000001,0","1.6,0","2,0","2.3000000000000003,0","2.6,0","2.4000000000000004,0","2,0","2.8000000000000003,0","3.7,0"
"c","-0.1,0","-0.30000000000000004,0","-0.8,0","0.2,0","0.5,0","1.1,0","1.7000000000000002,0","2.3000000000000003,0","2.7,0","2.8000000000000003,0","2.2,0","1.6,0","1.4000000000000001,0","1.9000000000000001,0","3,0","4.3,0","5.1000000000000005,0","5.300000000000001,0","3.1,0","1.6,0"
"c","-0.5,0","-0.5,0","-0.6000000000000001,0","-0.30000000000000004,0","-0.1,0","0.1,0","0.7000000000000001,0","1.6,0","2.1,0","2.2,0","2.2,0","2.8000000000000003,0","3.1,0","3.4000000000000004,0","4.1000000000000005,0","4.3,0","3.9000000000000004,0","2.8000000000000003,0","1.7000000000000002,0","1.1,0"
"c","0.2,0","-0.2,0","-0.6000000000000001,0","-0.6000000000000001,0","-0.1,0","0.4,0","1,0","1.8,0","2.9000000000000004,0","2.9000000000000004,0","2.9000000000000004,0","3.3000000000000003,0","3.4000000000000004,0","3.4000000000000004,0","3.4000000000000004,0","3.4000000000000004,0","3.3000000000000003,0","3.3000000000000003,0","3.2,0","3,0"
"c","0.2,0","-0.2,0","-0.30000000000000004,0","0.7000000000000001,0","1,0","1.2000000000000002,0","1.6,0","1.8,0","2,0","1.9000000000000001,0","1.3,0","1.5,0","1.8,0","1.8,0","1.1,0","1.6,0","2.6,0","3.1,0","3.1,0","2.2,0"
"c","-0.5,0","-1,0","-1.7000000000000002,0","-2.2,0","-2.6,0","-2.6,0","-1.3,0","0.2,0","2.7,0","4.4,0","6.2,0","6.7,0","5.2,0","3.5,0","3.1,0","3.3000000000000003,0","3.1,0","2.6,0","1.6,0","-0.1,0"
"c","-0.4,0","-0.9,0","-1.3,0","-1.5,0","-1.8,0","-1.9000000000000001,0","-1.7000000000000002,0","-0.2,0","0.1,0","0.7000000000000001,0","1.3,0","2.3000000000000003,0","2.4000000000000004,0","2.2,0","2,0","1.6,0","2.2,0","3,0","3.7,0","4.3,0"
"c","-0.4,0","-0.1,0","-0.2,0","-0.30000000000000004,0","-0.6000000000000001,0","-0.30000000000000004,0","0.1,0","-0.1,0","0.4,0","0.4,0","0.9,0","0.9,0","1.3,0","1.4000000000000001,0","2,0","2.1,0","2.4000000000000004,0","2.9000000000000004,0","4.2,0","5.1000000000000005,0"
"c","-0.2,0","-0.2,0","-0.2,0","-0.4,0","-0.5,0","-0.4,0","-0.30000000000000004,0","0.30000000000000004,0","0.9,0","1.1,0","1.6,0","2,0","2.4000000000000004,0","2.5,0","2.4000000000000004,0","2.2,0","1.5,0","1.3,0","1.1,0","0.6000000000000001,0"
"c","-0.2,0","-0.4,0","-0.2,0","0.2,0","0.4,0","0.9,0","1.5,0","1.6,0","1.7000000000000002,0","1.7000000000000002,0","1.9000000000000001,0","2.1,0","2.3000000000000003,0","2.3000000000000003,0","2.1,0","2.1,0","1.7000000000000002,0","1,0","-0.5,0","0,0"
"c","-0.1,0","-0.2,0","-0.5,0","-0.7000000000000001,0","-0.9,0","-0.6000000000000001,0","-0.1,0","0.4,0","0.9,0","1.1,0","1.4000000000000001,0","1.8,0","1.7000000000000002,0","1.9000000000000001,0","2.1,0","2.1,0","1.8,0","1.7000000000000002,0","2.4000000000000004,0","1.1,0"
"c","0.1,0","-0.5,0","-0.5,0","-0.30000000000000004,0","0.6000000000000001,0","1.2000000000000002,0","1.7000000000000002,0","1.8,0","1.6,0","1.8,0","2.3000000000000003,0","2.4000000000000004,0","2.4000000000000004,0","2.5,0","2.5,0","2.1,0","1.7000000000000002,0","1.1,0","0.30000000000000004,0","0,0"
"c","-0.4,0","-0.8,0","-0.8,0","-0.6000000000000001,0","-0.5,0","-0.1,0","0.6000000000000001,0","1.5,0","2.1,0","2.4000000000000004,0","2.3000000000000003,0","1.9000000000000001,0","1.8,0","2,0","2.2,0","1.9000000000000001,0","2,0","1.8,0","1.2000000000000002,0","0.8,0"
"c","-0.9,0","-0.9,0","-0.6000000000000001,0","-0.1,0","0.6000000000000001,0","1.3,0","1.7000000000000002,0","1.9000000000000001,0","2.3000000000000003,0","2.6,0","2.2,0","1.7000000000000002,0","1.9000000000000001,0","2.6,0","3.4000000000000004,0","3.6,0","3.8000000000000003,0","3.3000000000000003,0","1.8,0","0.30000000000000004,0"
"c","0.4,0","0.2,0","0.2,0","0.7000000000000001,0","0.9,0","0.6000000000000001,0","0.5,0","1.3,0","2.3000000000000003,0","2.7,0","2.4000000000000004,0","1.7000000000000002,0","2,0","2.3000000000000003,0","2.4000000000000004,0","2.2,0","1.5,0","0.4,0","-1.1,0","-2.9000000000000004,0"
"c","-0.2,0","-0.8,0","-0.9,0","-0.5,0","0.4,0","0.8,0","1.2000000000000002,0","2,0","2.5,0","2.8000000000000003,0","3,0","3.1,0","3.5,0","3.7,0","3.1,0","1.3,0","1,0","0.9,0","0,0","0,0"
"c","0.9,0","0.9,0","0.9,0","1,0","1,0","0.8,0","0.4,0","0.2,0","0.9,0","1.6,0","2,0","2,0","2.1,0","3.4000000000000004,0","3.6,0","2.9000000000000004,0","2.1,0","1.6,0","1.2000000000000002,0","0.6000000000000001,0"
