"label","duration_ms","total_path_length","avg_step_length","range_x","range_y","range_z","p1_x","p1_y","p1_z","p1_t","p2_x","p2_y","p2_z","p2_t","p3_x","p3_y","p3_z","p3_t","p4_x","p4_y","p4_z","p4_t","p5_x","p5_y","p5_z","p5_t","p6_x","p6_y","p6_z","p6_t","p7_x","p7_y","p7_z","p7_t","p8_x","p8_y","p8_z","p8_t","p9_x","p9_y","p9_z","p9_t","p10_x","p10_y","p10_z","p10_t","p11_x","p11_y","p11_z","p11_t","p12_x","p12_y","p12_z","p12_t","p13_x","p13_y","p13_z","p13_t","p14_x","p14_y","p14_z","p14_t","p15_x","p15_y","p15_z","p15_t","p16_x","p16_y","p16_z","p16_t","p17_x","p17_y","p17_z","p17_t","p18_x","p18_y","p18_z","p18_t","p19_x","p19_y","p19_z","p19_t","p20_x","p20_y","p20_z","p20_t"
"m",1383,40.9979282817397,2.1577856990389317,3.331578947368421,5.515789473684212,7.715789473684209,0,0,0,85,0.26315789473684204,0.44210526315789456,0.11578947368421044,155,0.3157894736842106,-0.06842105263157872,-0.026315789473684292,225,0.5,-0.6263157894736843,-1.5421052631578949,295,-0.7684210526315788,-2.852631578947368,-3.768421052631579,382,-1.5210526315789479,-3.289473684210526,-5.9,452,-2.4052631578947374,-2.1421052631578945,-4.894736842105264,522,-1.7684210526315796,1.5263157894736836,-1.9157894736842112,592,-0.9368421052631576,2.1631578947368424,1.8157894736842088,663,-0.9,0.23157894736842177,0.2842105263157917,732,-0.41052631578947396,-1.331578947368422,-3.231578947368422,820,-0.30526315789473624,-2.2315789473684218,-4,889,-1.2578947368421054,-3.1578947368421058,-4.447368421052632,960,-2.173684210526316,-3.352631578947369,-4.847368421052632,1030,-2.221052631578948,-1.5368421052631591,-3.031578947368422,1101,-2.831578947368421,0.8,-0.7052631578947386,1171,-2.626315789473685,1.2894736842105274,0.6473684210526303,1241,-2.1842105263157894,-0.115789473684211,-0.5052631578947384,1311,-1.0789473684210522,-0.6578947368421041,-2.257894736842104,1381,-1.3,-1.2000000000000002,-2.9000000000000004,1468
"m",1483,31.575953235396433,1.6618922755471808,2.947368421052631,4.410526315789474,4.510526315789479,0,0,0,50,-0.1,0.9,0.8,136,0.26842105263157895,1.6,1.4684210526315788,205,0.39473684210526305,1.505263157894737,1.110526315789474,275,0.8105263157894737,0.38421052631578945,-0.21578947368421061,344,0.7368421052631583,-1.2578947368421056,-0.4,413,-0.005263157894736997,-2.2,-2.194736842105263,499,-1.0631578947368419,-2.1789473684210527,-2.0105263157894737,569,-1.28421052631579,0.3578947368421055,-0.39999999999999925,659,-1.0315789473684218,2.210526315789473,1.584210526315789,741,-0.5421052631578946,1.8263157894736837,2.068421052631578,810,-0.5000000000000001,0.3526315789473685,0.5315789473684213,880,-0.1,-0.9,-1.2000000000000002,1015,-0.810526315789474,-1.6,-1.6052631578947372,1085,-2.0421052631578944,-1.9210526315789473,-1.3421052631578947,1154,-1.1263157894736835,-0.7526315789473671,-1.4842105263157914,1223,-2.1368421052631574,0.17368421052631647,-0.33157894736842064,1301,-1.6157894736842153,1.5578947368421028,2.3157894736842155,1379,-1.115789473684211,1.2315789473684222,1.878947368421055,1447,-1,0,0.30000000000000004,1533
"m",1433,29.809842569558533,1.5689390826083438,2.4421052631578943,4.41578947368421,4.794736842105264,0,0,0,34,0.4631578947368421,0.8263157894736841,1.4631578947368422,106,0.194736842105263,-1.0631578947368419,-1.0263157894736836,192,0.2,-2.6315789473684212,-3.110526315789474,270,0.305263157894737,-3.147368421052632,-3.0473684210526315,342,-0.6000000000000001,-3.115789473684211,-3.3315789473684214,414,-1.5052631578947362,-3,-3.1421052631578945,488,-1.1263157894736846,-1.4105263157894745,-2.142105263157895,561,-1.9,0.19999999999999996,0,650,-1.1052631578947363,1.0999999999999999,1.2000000000000002,723,-0.3315789473684213,-0.5421052631578938,0.23684210526315752,796,0.305263157894737,-1.7000000000000002,-1.2263157894736851,885,-0.20000000000000004,-2.3000000000000003,-2.0578947368421057,958,-0.7578947368421055,-2.878947368421053,-2.2,1031,-1.647368421052631,-3.3157894736842106,-2.9315789473684206,1104,-1.9789473684210521,-3.0894736842105264,-2.689473684210526,1176,-0.9368421052631563,-1.4578947368421042,-2.115789473684208,1249,-1.6263157894736835,-0.0947368421052659,-0.20000000000000007,1321,-1.5421052631578904,-0.04736842105263017,0.35263157894736996,1395,-1.1,-0.7000000000000001,0.30000000000000004,1467
"m",1401,42.25437928213398,2.223914699059683,4.268421052631578,5.789473684210526,7.347368421052629,0,0,0,34,0.35789473684210527,1.1,2.115789473684211,104,-0.23157894736842127,0.5421052631578948,0.5157894736842106,175,0.1,-0.8526315789473684,-1.678947368421053,245,0.1842105263157894,-2.168421052631579,-3.6526315789473682,314,0.07894736842105204,-2.994736842105263,-4.726315789473685,386,-0.4526315789473685,-2.3000000000000003,-5.0736842105263165,471,-1.8894736842105262,-1.3631578947368426,-3.663157894736843,543,-2.268421052631579,0.2789473684210514,-1.7842105263157915,612,-1.1736842105263179,2.736842105263156,2.084210526315786,682,-0.8,1.8578947368421046,1.936842105263156,753,0.1,0.04210526315789387,-1.0578947368421063,839,0.06315789473684247,-1.5578947368421057,-2.957894736842106,935,-0.8894736842105261,-2.4947368421052634,-3.4947368421052634,1014,-1.5736842105263151,-2.784210526315789,-3.8315789473684223,1084,-2.121052631578949,-3.0526315789473695,-3.58421052631579,1154,-2.1421052631578905,-1.7631578947368425,-3.2368421052631575,1223,-3.9105263157894727,0.23684210526316052,-0.45263157894736716,1294,-1.6,2.578947368421052,2.273684210526312,1364,-1.3000000000000003,1.5000000000000004,0.7999999999999998,1435
"m",1234,37.69910655306931,1.9841635027931217,4.5473684210526315,5.768421052631579,6.821052631578947,0,0,0,69,0.9473684210526316,1.2,0.8526315789473684,144,0.3368421052631577,0.5947368421052632,0.7473684210526319,220,-0.11578947368421064,-1.6315789473684215,-2.3894736842105266,329,-0.30000000000000004,-2.4105263157894736,-3.921052631578948,387,-0.6894736842105265,-2.336842105263158,-3.6631578947368424,446,-2.6631578947368424,-2.2368421052631575,-4.321052631578947,505,-2.7684210526315796,-0.384210526315788,-2.384210526315788,575,-1.131578947368422,2.747368421052631,1.4526315789473672,642,-1.7263157894736842,1.426315789473684,0.7526315789473688,714,-0.6526315789473686,0.5421052631578944,-0.5789473684210528,772,-1,-1.1368421052631583,-1.8947368421052637,831,-0.5368421052631576,-1.6,-2.9631578947368427,890,-1.3684210526315794,-2.4526315789473694,-2.9157894736842103,949,-1.6736842105263166,-2.6368421052631583,-3.5368421052631582,1008,-2.3000000000000003,-3.0210526315789483,-3.489473684210526,1067,-1.6894736842105273,-1.7210526315789494,-2.8578947368421055,1126,-2.2842105263157895,0.5789473684210522,-0.8631578947368439,1184,-2.4,2.3421052631578947,1.9789473684210521,1243,-3.6,1.8000000000000003,2.5,1303
"m",1201,33.7461071272749,1.776110901435521,3.3789473684210525,4.810526315789475,6.326315789473686,0,0,0,34,0.5000000000000001,1.2,1.6631578947368424,124,0.4263157894736843,0.8526315789473684,0.9052631578947371,181,-0.021052631578947253,-0.44210526315789456,-0.24210526315789452,237,-0.48947368421052606,-2.7421052631578946,-3.6473684210526316,359,-1.7684210526315791,-3.0000000000000004,-3.8157894736842106,414,-2.284210526315789,-1.7368421052631584,-2.815789473684211,471,-2.4105263157894745,0.47894736842105123,-0.5947368421052641,528,-1.8842105263157891,1.8105263157894744,2.3631578947368417,583,-1.678947368421054,1.5052631578947375,2.510526315789475,640,-1.0315789473684214,0.4894736842105274,1.0157894736842126,696,-0.594736842105263,-0.8052631578947371,-1.205263157894737,769,-0.684210526315789,-1.5684210526315783,-2.2,825,-1.0210526315789472,-2.4000000000000004,-2.4578947368421056,881,-1.5789473684210515,-2.6157894736842104,-2.9684210526315797,937,-2.6,-2.6473684210526316,-1.8421052631578947,993,-2.8789473684210525,-1.621052631578948,-1.121052631578948,1049,-2.3000000000000003,0.7578947368421056,0.5315789473684213,1122,-2.726315789473684,1.3105263157894746,1.8000000000000003,1178,-2.8000000000000003,1,1.7000000000000002,1235
"m",1183,37.60421055802087,1.9791689767379403,5.073684210526316,6.042105263157895,7.057894736842106,0,0,0,34,-0.20526315789473684,0.9315789473684212,1.1368421052631579,112,0.8736842105263157,0.7631578947368421,0.9157894736842106,173,0.3947368421052633,-0.7315789473684209,-1.1263157894736842,235,0.4,-2.3473684210526313,-2.8947368421052633,296,-1.0842105263157897,-3.642105263157895,-4.15263157894737,358,-1.6736842105263154,-3.210526315789474,-4.8578947368421055,419,-3.5157894736842112,-2.6052631578947363,-3.6421052631578945,481,-3.3631578947368426,-0.5736842105263165,-1.621052631578948,543,-3.057894736842108,1.1789473684210514,0.4631578947368412,604,-1.6315789473684206,1.8473684210526309,1.5000000000000004,664,-1.3526315789473684,0.6368421052631575,0.4473684210526315,726,-0.8210526315789473,-0.1421052631578945,-1.2473684210526308,788,-0.910526315789474,-1.3578947368421042,-2,848,-1.0578947368421054,-2.2578947368421054,-2.8315789473684223,911,-1.5789473684210527,-3,-3.3000000000000003,971,-2.694736842105263,-3.489473684210526,-2.721052631578948,1033,-2.684210526315791,-1.994736842105266,-2.047368421052633,1095,-2.684210526315785,1.163157894736841,0.3894736842105232,1156,-4.2,2.4000000000000004,2.2,1217
"m",1166,35.72801695307971,1.880421944898932,3.7315789473684213,5.752631578947367,7.389473684210526,0,0,0,51,0.18421052631578946,0.3421052631578949,0.05789473684210522,110,0.3315789473684211,0.21578947368421075,0.13684210526315788,170,0.1578947368421055,-0.24210526315789438,-0.7684210526315789,230,-0.30000000000000004,-2.163157894736842,-2.931578947368421,306,-0.5578947368421054,-3.026315789473685,-3.56842105263158,366,-1.2473684210526317,-3.352631578947369,-3.742105263157895,425,-1.7105263157894741,-2.5894736842105264,-3.294736842105263,485,-2.4894736842105267,-0.46842105263157874,-2.2210526315789476,545,-1.7578947368421056,1.7421052631578946,0.7736842105263144,604,-0.9210526315789472,1.8052631578947365,3.3842105263157887,663,-0.015789473684208855,0.5631578947368419,0.8052631578947342,724,0.205263157894737,-0.878947368421052,-1.0894736842105261,783,0.24736842105263154,-2.1578947368421053,-2.405263157894737,842,0.18947368421052604,-2.7105263157894743,-2.621052631578948,903,-0.6368421052631575,-3.468421052631579,-3.5052631578947366,979,-1.9789473684210528,-3.9473684210526314,-4.0052631578947375,1039,-2.0315789473684207,-1.9263157894736822,-3.494736842105262,1098,-3.210526315789473,-0.43157894736842195,0.8105263157894727,1158,-3.4000000000000004,1.1,1.5,1217
"m",1116,33.99803158384357,1.789370083360188,3.2736842105263166,5.110526315789475,6.13684210526316,0,0,0,51,0.30000000000000004,0.4631578947368422,0.4631578947368422,105,0.20000000000000004,0.37368421052631584,0.11052631578947358,161,0.5000000000000001,-0.18947368421052635,-1.3684210526315792,216,-0.07894736842105275,-1.9894736842105267,-2.6368421052631583,276,-0.6315789473684206,-3.2578947368421054,-4.015789473684211,343,-1.5315789473684212,-3.0315789473684207,-3.7894736842105265,398,-2.384210526315789,-1.9368421052631581,-2.810526315789475,454,-2.389473684210526,0.07368421052631646,-0.884210526315789,509,-1.4315789473684213,1.7526315789473683,1.221052631578947,565,-1,1.221052631578949,2.121052631578949,621,-0.8473684210526315,-0.3368421052631575,-0.33157894736842053,675,-0.2789473684210527,-2.1736842105263166,-2.973684210526317,773,-0.910526315789474,-3.321052631578948,-3.2105263157894743,836,-1.9842105263157892,-3.357894736842106,-3.2,891,-2.173684210526316,-2.5789473684210527,-2.9526315789473685,946,-1.8000000000000003,-1.0736842105263151,-1.9684210526315782,1001,-2.7736842105263166,0.3736842105263165,0.39473684210526594,1056,-2.2578947368421063,0.9315789473684213,2.0526315789473664,1112,-1.8000000000000003,-0.09999999999999998,0.9000000000000001,1167
"m",1167,40.65410463743956,2.139689717759977,4.726315789473683,6.568421052631579,6.731578947368421,0,0,0,33,0.7578947368421053,2.057894736842105,1.7000000000000002,91,-0.05263157894736842,1.7315789473684213,2.4526315789473685,147,0.3263157894736843,0.8473684210526315,0.6526315789473686,221,0.2,0.13157894736842102,0.026315789473684292,296,-0.21052631578947364,-0.8210526315789474,-1.4105263157894736,402,-0.6052631578947371,-1.005263157894737,-1.6526315789473687,459,-1.789473684210526,-1.8894736842105262,-1.7052631578947373,516,-1.3,0.40526315789473666,-2.7894736842105265,573,-1.4368421052631581,3.336842105263158,1.6894736842105273,630,-1.3210526315789473,3.1368421052631583,3.9421052631578943,687,-1.2,2.147368421052633,3.394736842105266,744,-0.2736842105263151,1.284210526315789,0.7578947368421041,801,0.6,0.0578947368421055,-0.8947368421052632,858,0.8684210526315781,-0.7894736842105262,-1.7789473684210524,915,-0.3947368421052637,-1.5631578947368427,-2.0631578947368427,972,-1.4736842105263157,-2.568421052631579,-2.126315789473684,1029,-2.0947368421052617,-1.9736842105263182,-0.9842105263157898,1086,-3.8578947368421055,0.6789473684210549,-0.284210526315789,1143,-2.3000000000000003,4,2.4,1200
