"label","point_1","point_2","point_3","point_4","point_5","point_6","point_7","point_8","point_9","point_10","point_11","point_12","point_13","point_14","point_15","point_16","point_17","point_18","point_19","point_20"
"c","0.1,-0.1","-0.1,-0.30000000000000004","0.2,-1","0.7000000000000001,-1.3","1.1,-1.6","1.3,-2","1.2000000000000002,-2.4000000000000004","1.3,-2.8000000000000003","1.4000000000000001,-3","1.8,-2.7","2.1,-2.1","2.3000000000000003,-1.1","2.2,-0.4","2.1,0.4","2.1,1","1.8,1.4000000000000001","0.6000000000000001,1.9000000000000001","0.6000000000000001,1.9000000000000001","-1.6,2.7","0,0"
"c","0.30000000000000004,-0.6000000000000001","0.30000000000000004,-0.8","0.5,-1.4000000000000001","0.8,-1.9000000000000001","1.4000000000000001,-2.2","2,-2.5","2.3000000000000003,-2.8000000000000003","2.1,-3.2","2.2,-3.2","2.5,-2.8000000000000003","2.6,-2","2.2,-1","2,-0.30000000000000004","1.3,0.2","0.7000000000000001,0.30000000000000004","0.2,0.6000000000000001","-0.2,1.2000000000000002","-0.9,2","-0.7000000000000001,2.9000000000000004","0,0"
"c","0.6000000000000001,-1.3","0.8,-1.2000000000000002","1.4000000000000001,-1.6","1.8,-2","1.8,-2.2","1.9000000000000001,-2.3000000000000003","2,-2.2","1.9000000000000001,-2.1","1.5,-1.7000000000000002","1.2000000000000002,-1.4000000000000001","1,-1","0.8,-0.7000000000000001","0.7000000000000001,-0.4","0.7000000000000001,0.2","0.5,0.8","0.1,1.5","-0.2,1.8","-0.6000000000000001,2.2","-1.2000000000000002,2.6","0,0"
"c","0.2,-0.9","0.1,-1","0.1,-1.4000000000000001","0.30000000000000004,-1.7000000000000002","0.5,-1.9000000000000001","0.7000000000000001,-2.2","1.1,-2.4000000000000004","1.3,-2.1","1.5,-1.7000000000000002","1.4000000000000001,-1.6","1,-1.7000000000000002","0.6000000000000001,-1.6","0.5,-1.5","0.4,-1.4000000000000001","0.4,-1.1","0.5,-0.7000000000000001","0.4,1.6","0.2,2.2","-0.4,2.4000000000000004","-1.2000000000000002,2.4000000000000004"
"c","0.2,-1","0.2,-1.2000000000000002","0.2,-1.7000000000000002","0.4,-1.8","0.8,-1.7000000000000002","1.4000000000000001,-1.6","1.8,-1.3","1.8,-1.2000000000000002","1.8,-0.9","1.7000000000000002,-0.5","1.9000000000000001,0.4","1.9000000000000001,0.7000000000000001","1.7000000000000002,1.2000000000000002","1.5,1.5","1.2000000000000002,1.9000000000000001","0.7000000000000001,2.3000000000000003","0.1,2.5","-1.7000000000000002,2.8000000000000003","-2.4000000000000004,3","-3.3000000000000003,2.9000000000000004"
"c","0.4,-1.3","0.4,-1.3","0.2,-1.2000000000000002","0.2,-1.5","0.30000000000000004,-1.5","0.4,-1.4000000000000001","0.6000000000000001,-1.6","0.9,-1.3","1.6,-1","1.6,-1","1.3,-1","1.3,-1","1.4000000000000001,-0.4","1.2000000000000002,-0.1","0.6000000000000001,0.1","0.4,0.1","0.1,0.2","-0.2,0.5","-0.6000000000000001,1","-1,1.4000000000000001"
"c","0.4,-1.4000000000000001","0.30000000000000004,-1.3","0.1,-1.3","0.1,-1.5","0.30000000000000004,-1.5","0.5,-1.6","0.6000000000000001,-1.7000000000000002","0.5,-1.8","0.7000000000000001,-2","1.3,-2.1","2,-1.6","2.4000000000000004,-1.1","2.8000000000000003,-0.8","2.5,0.6000000000000001","1.7000000000000002,0.9","1.2000000000000002,0.9","1,1.1","0.7000000000000001,1.3","0.1,1.4000000000000001","-0.8,1.6"
"c","0.4,-2.1","0.4,-1.9000000000000001","0.1,-2.1","-0.1,-2","0.1,-2","0.2,-2.1","0.30000000000000004,-2.5","0.30000000000000004,-2.9000000000000004","0.30000000000000004,-2.9000000000000004","0.6000000000000001,-2.8000000000000003","0.7000000000000001,-2.6","0.7000000000000001,-2.4000000000000004","0.9,-1.9000000000000001","1.1,-1.3","1.4000000000000001,-0.7000000000000001","1.6,0.2","1.9000000000000001,0.7000000000000001","1.9000000000000001,1.5","1.4000000000000001,1.9000000000000001","0.5,2.2"
"c","0.2,-0.9","0.30000000000000004,-0.9","0.2,-1.1","0.1,-1.2000000000000002","0.2,-1.6","0.30000000000000004,-1.9000000000000001","0.5,-2.2","0.9,-2.4000000000000004","1.3,-2.7","1.7000000000000002,-3","1.8,-2.8000000000000003","1.9000000000000001,-2.3000000000000003","1.5,-1.5","0.9,-1.6","0.9,-1.6","0.4,-1.6","0.5,-0.5","0.4,0.5","0.4,0.7000000000000001","0.1,0.9"
"c","0.1,-0.4","-0.1,-1.1","0.1,-1.6","0.1,-1.7000000000000002","0.30000000000000004,-1.7000000000000002","0.7000000000000001,-2.1","1,-2.3000000000000003","1.3,-2.2","1.4000000000000001,-2.1","1.2000000000000002,-2.1","1,-2","0.7000000000000001,-1.9000000000000001","0.4,-1.9000000000000001","0.2,-1.7000000000000002","0.30000000000000004,-1.3","0.30000000000000004,-0.8","-0.1,0.2","-0.2,0.7000000000000001","-0.4,1","-0.9,1"
"c","0.1,-1.2000000000000002","0.6000000000000001,-1.4000000000000001","0.6000000000000001,-1.3","0.6000000000000001,-1.7000000000000002","0.7000000000000001,-2","0.8,-2.2","0.8,-2.3000000000000003","1,-2.6","1.1,-2.7","1.2000000000000002,-2.7","1.2000000000000002,-2.8000000000000003","1.1,-2.7","0.9,-2.3000000000000003","0.8,-1.9000000000000001","0.9,-1.4000000000000001","0.8,-1","0.8,-0.4","1,0.1","1.1,0.5","1.3,0.8"
"c","0.2,-1.4000000000000001","0.30000000000000004,-1.6","0.2,-2","0.4,-2.3000000000000003","0.6000000000000001,-2.6","0.7000000000000001,-3.1","0.7000000000000001,-3.1","0.9,-3.2","1,-3","1,-2.9000000000000004","0.8,-2.8000000000000003","0.9,-2.4000000000000004","1,-2","0.9,-1.4000000000000001","0.9,-0.9","1,-0.30000000000000004","1,0.5","0.9,1.1","0.7000000000000001,1.5","0.30000000000000004,1.9000000000000001"
"c","0.4,-1","0.5,-1.2000000000000002","0.4,-1.6","0.30000000000000004,-2","0.6000000000000001,-2.2","1,-2.5","1.2000000000000002,-2.7","1.5,-3.1","1.9000000000000001,-3.3000000000000003","2.3000000000000003,-3.5","2.6,-3.4000000000000004","2.6,-3.2","2.5,-2.7","1.9000000000000001,-2.2","1.4000000000000001,-0.8","1.3,-0.2","1.1,0.30000000000000004","1.1,0.8","0.9,1.3","0.6000000000000001,1.5"
"c","0.5,-1.5","0.9,-1.5","0.8,-1.9000000000000001","0.9,-2.4000000000000004","1,-2.7","1.3,-3.1","1.3,-3.5","1.1,-3.8000000000000003","1.1,-4.2","1.4000000000000001,-4.4","1.8,-4","1.8,-2.6","1.5,-1.9000000000000001","1.3,-1.3","1.4000000000000001,-0.6000000000000001","2,1.1","1.9000000000000001,1.8","1.7000000000000002,2.2","1.1,2.6","0.4,3.1"
"c","0.30000000000000004,-1.4000000000000001","0.30000000000000004,-1.9000000000000001","0.1,-1.9000000000000001","0.2,-2","0.5,-2.2","0.7000000000000001,-2.5","0.9,-2.8000000000000003","1.4000000000000001,-2.8000000000000003","1.8,-2.8000000000000003","1.9000000000000001,-2.7","1.8,-2.6","0.9,-2.2","0.7000000000000001,-1.9000000000000001","0.7000000000000001,-1.9000000000000001","0.5,-1.6","0.4,-0.9","0.6000000000000001,-0.30000000000000004","0.9,0.5","1.2000000000000002,1","1,1.3"
"c","0.8,-1.9000000000000001","1.2000000000000002,-1.8","1.5,-2.4000000000000004","1.5,-2.8000000000000003","1.7000000000000002,-3.1","1.8,-3.4000000000000004","2,-3.3000000000000003","2,-3.2","1.8,-3.1","1.4000000000000001,-2.9000000000000004","1,-2.4000000000000004","0.8,-1.9000000000000001","0.7000000000000001,-1.4000000000000001","0.8,-0.8","0.6000000000000001,-0.30000000000000004","0.5,0.5","0.30000000000000004,1.1","0.4,1.6","0.2,2.2","-0.4,2.6"
"c","0.6000000000000001,-2","1.1,-2.2","1.1,-2.3000000000000003","1.3,-2.8000000000000003","1.6,-3.1","1.7000000000000002,-3.2","1.6,-3.5","1.5,-3.6","1.5,-3.3000000000000003","1.5,-2.8000000000000003","1.3,-2.2","1.1,-1.6","0.8,-1.1","0.5,-0.8","0.5,0.2","0.6000000000000001,0.7000000000000001","0.5,1","0.5,1.4000000000000001","0.2,1.8","-0.5,2.5"
"c","0.7000000000000001,-1.3","0.7000000000000001,-1.4000000000000001","0.6000000000000001,-1.8","1.1,-2.4000000000000004","1.3,-2.5","1.5,-3","1.9000000000000001,-3.2","2.1,-3.3000000000000003","2.4000000000000004,-3.2","2.4000000000000004,-3.1","1.9000000000000001,-2.8000000000000003","1.5,-2.4000000000000004","1.3,-1.9000000000000001","1,-0.7000000000000001","0.4,0.30000000000000004","-0.6000000000000001,0.4","-0.8,0.8","-0.8,1.1","-0.7000000000000001,1.5","-0.7000000000000001,1.7000000000000002"
"c","1,-2.8000000000000003","1.1,-2.5","1.3,-2.6","1.5,-2.7","1.6,-2.7","1.6,-2.8000000000000003","1.4000000000000001,-2.9000000000000004","1.3,-2.9000000000000004","1.2000000000000002,-2.8000000000000003","1.2000000000000002,-2.4000000000000004","1.2000000000000002,-1.9000000000000001","1.2000000000000002,-1.1","1.1,-0.5","0.8,0.30000000000000004","0.7000000000000001,0.30000000000000004","0.2,0.30000000000000004","-0.30000000000000004,0.1","-0.5,0.6000000000000001","-0.5,1.4000000000000001","-0.6000000000000001,1.9000000000000001"
"c","0.5,-2","0.8,-1.8","0.8,-2.3000000000000003","0.8,-2.6","0.6000000000000001,-3.1","0.8,-3.2","1.4000000000000001,-3.3000000000000003","1.6,-3.2","1.6,-2.9000000000000004","1.7000000000000002,-2.3000000000000003","1.7000000000000002,-1.7000000000000002","1.3,-1.1","0.7000000000000001,-0.6000000000000001","0.7000000000000001,-0.1","1,0.30000000000000004","1.2000000000000002,1.3","1.3,1.7000000000000002","1.1,2.2","0.8,2.9000000000000004","0.4,3.6"
"c","-0.1,-2.5","0.2,-2.1","0.4,-2.3000000000000003","0.6000000000000001,-2.8000000000000003","0.5,-3","0.30000000000000004,-3.1","0.1,-3.4000000000000004","-0.1,-3.6","0.2,-3.4000000000000004","0.4,-2.8000000000000003","0.5,-2.2","0.5,-1.6","0.8,-0.8","1.3,0.1","1.3,0.8","1.3,1.1","0.8,2","0.6000000000000001,2.9000000000000004","0.30000000000000004,3.4000000000000004","-0.1,3.8000000000000003"
